STATE,District Name,Market Name,Commodity,Variety,Grade,Min_Price,Max_Price,Modal_Price,Price Date
Uttar Pradesh,bijnor,Kiratpur,Potato,Potato,Non-FAQ,800,900,850.0,5/11/2025
Madhya Pradesh,morena,Morena,Onion,Onion,Non-FAQ,800,800,800.0,5/11/2025
West Bengal,paschim bardhaman,Asansol,Onion,Nasik,FAQ,1800,1900,1850.0,5/11/2025
Uttar Pradesh,hardoi,Sandi,Onion,Onion,FAQ,1200,1270,1235.0,5/11/2025
Kerala,alappuzha,Madhavapuram,Onion,Other,FAQ,5000,5400,5200.0,5/11/2025
Uttar Pradesh,sambhal,Sambhal,Onion,Red,FAQ,1200,1500,1400.0,5/11/2025
Kerala,kannur,Kannur,Onion,Other,FAQ,2000,2200,2100.0,5/11/2025
Maharashtra,pune,Junnar(Otur),Onion,Other,Local,1000,1700,1450.0,5/11/2025
Tamilnadu,dindigul,Vedasanthur(Uzhavar Sandhai ),Onion,Bellary,Local,2000,2500,2500.0,5/11/2025
Uttar Pradesh,badaun,Bilsi,Onion,Red,FAQ,1200,1300,1240.0,5/11/2025
Uttar Pradesh,shahjahanpur,Tilhar,Onion,Red,Non-FAQ,1180,1195,1190.0,5/11/2025
West Bengal,nadia,Chakdah,Onion,Other,FAQ,1900,2100,2000.0,5/11/2025
Haryana,fatehabad,Tohana(New Veg Market),Potato,Potato,FAQ,700,800,800.0,5/11/2025
Haryana,mewat,Nuh,Onion,Other,Non-FAQ,1000,1000,1000.0,5/11/2025
Uttar Pradesh,ghaziabad,Ghaziabad,Potato,Desi,FAQ,1080,1160,1120.0,5/11/2025
Tamilnadu,dharmapuri,AJattihalli(Uzhavar Sandhai ),Onion,Bellary,Local,2200,2400,2400.0,5/11/2025
Tamilnadu,theni,Chinnamanur(Uzhavar Sandhai ),Potato,(Red Nanital),Local,3400,3400,3400.0,5/11/2025
West Bengal,jalpaiguri,Jalpaiguri Sadar,Onion,Nasik,FAQ,1800,2000,1900.0,5/11/2025
Uttar Pradesh,bareilly,Bahedi,Rice,Other,FAQ,2830,2870,2845.0,5/11/2025
Tamilnadu,virudhunagar,Sathur(Uzhavar Sandhai ),Onion,Bellary,Local,2500,3000,3000.0,5/11/2025
Uttar Pradesh,badaun,Shahaswan,Potato,Potato,Non-FAQ,1000,1200,1100.0,5/11/2025
Uttar Pradesh,hardoi,Shahabad(New Mandi),Potato,Potato,FAQ,1200,1300,1250.0,5/11/2025
West Bengal,nadia,Nadia,Potato,Jyoti,FAQ,1560,1600,1580.0,5/11/2025
Haryana,gurgaon,Farukh Nagar,Onion,Other,FAQ,1200,1400,1200.0,5/11/2025
Punjab,jalandhar,Phillaur(Apra Mandi),Potato,Other,FAQ,800,800,800.0,5/11/2025
West Bengal,paschim bardhaman,Asansol,Potato,Jyoti,FAQ,1320,1460,1400.0,5/11/2025
Haryana,gurgaon,Gurgaon,Potato,Other,FAQ,1000,1200,1100.0,5/11/2025
West Bengal,hooghly,Champadanga,Potato,Jyoti,FAQ,1420,1460,1440.0,5/11/2025
Tamilnadu,namakkal,Mohanur(Uzhavar Sandhai ),Potato,(Red Nanital),Local,2800,3500,3500.0,5/11/2025
Uttar Pradesh,balrampur,Balrampur,Onion,Red,FAQ,1135,1340,1220.0,5/11/2025
Uttar Pradesh,prayagraj,Ajuha,Onion,Red,FAQ,1150,1280,1210.0,5/11/2025
West Bengal,nadia,Nadia,Onion,Local,FAQ,1800,2000,1900.0,5/11/2025
Kerala,kottayam,Kanjirappally,Onion,Onion,FAQ,7500,8000,7800.0,5/11/2025
Tamilnadu,krishnagiri,Hosur(Uzhavar Sandhai ),Onion,Bellary,Local,2000,2500,2500.0,5/11/2025
West Bengal,jalpaiguri,Jalpaiguri Sadar,Onion,Other,FAQ,1700,1800,1800.0,5/11/2025
Uttar Pradesh,unnao,Purwa,Rice,Common,FAQ,3150,3200,3175.0,5/11/2025
West Bengal,bankura,Indus(Bankura Sadar),Rice,Fine,FAQ,4550,4700,4650.0,5/11/2025
Tamilnadu,coimbatore,RSPuram(Uzhavar Sandhai ),Potato,(Red Nanital),Local,2000,4800,4800.0,5/11/2025
Punjab,muktsar,Muktsar,Potato,Other,FAQ,1500,2000,1800.0,5/11/2025
Bihar,sheohar,Sheohar,Potato,Jyoti,FAQ,1600,2000,1800.0,5/11/2025
Tamilnadu,krishnagiri,Kaveripattinam(Uzhavar Sandhai ),Onion,Bellary,Local,2500,3000,3000.0,5/11/2025
Tamilnadu,vellore,Katpadi (Uzhavar Sandhai ),Onion,Bellary,Local,2200,2200,2200.0,5/11/2025
West Bengal,hooghly,Sheoraphuly,Onion,Local,FAQ,1500,1600,1600.0,5/11/2025
Uttar Pradesh,muzaffarnagar,Muzzafarnagar,Onion,Red,Non-FAQ,950,1100,1050.0,5/11/2025
Maharashtra,pune,Pune(Manjri),Onion,Local,Local,700,1100,900.0,5/11/2025
Maharashtra,pune,Pune(Moshi),Onion,Local,Local,300,1200,750.0,5/11/2025
Kerala,ernakulam,Angamaly,Potato,Potato,FAQ,2800,4000,3500.0,5/11/2025
Himachal Pradesh,hamirpur,Bharuasumerpur,Onion,Red,FAQ,1200,1275,1265.0,5/11/2025
Uttar Pradesh,varanasi,Varanasi(F&V),Onion,Red,FAQ,1100,1235,1160.0,5/11/2025
Uttar Pradesh,aligarh,Charra,Potato,Desi,FAQ,1000,1200,1100.0,5/11/2025
Uttar Pradesh,amethi,Sultanpur,Onion,Red,FAQ,1240,1275,1255.0,5/11/2025
Kerala,idukki,Vandiperiyar,Onion,Big,FAQ,2500,2600,2600.0,5/11/2025
Tamilnadu,thanjavur,Pattukottai(Uzhavar Sandhai ),Onion,Bellary,Local,3000,4000,4000.0,5/11/2025
Bihar,banka,Barahat,Onion,Medium,FAQ,1800,2200,2000.0,5/11/2025
Rajasthan,pali,Pali,Potato,Other,FAQ,1000,1500,1250.0,5/11/2025
Uttar Pradesh,ghaziabad,Hapur,Potato,Desi,FAQ,1100,1200,1120.0,5/11/2025
Uttar Pradesh,amethi,Sultanpur,Potato,Desi,Non-FAQ,960,995,980.0,5/11/2025
Tamilnadu,sivaganga,Sivagangai (Uzhavar Sandhai ),Onion,Bellary,Local,2600,3000,3000.0,5/11/2025
Tamilnadu,kancheepuram,Padappai(Uzhavar Sandhai ),Potato,(Red Nanital),Local,2000,3000,3000.0,5/11/2025
Maharashtra,ahmednagar,Rahata,Potato,Other,Local,1000,1600,1300.0,5/11/2025
West Bengal,murshidabad,Kandi,Rice,Common,FAQ,3600,3800,3700.0,5/11/2025
Rajasthan,hanumangarh,Rawatsar,Onion,1st Sort,FAQ,1500,1500,1500.0,5/11/2025
Tamilnadu,sivaganga,Tirupatthur(Uzhavar Sandhai ),Onion,Bellary,Local,2800,3200,3200.0,5/11/2025
West Bengal,hooghly,Sheoraphuly,Potato,Jyoti,FAQ,1380,1400,1400.0,5/11/2025
West Bengal,hooghly,Kalipur,Rice,Fine,FAQ,4750,4850,4800.0,5/11/2025
Uttar Pradesh,hardoi,Hardoi,Onion,Pusa-Red,FAQ,1200,1270,1240.0,5/11/2025
Tamilnadu,coimbatore,Mettupalayam(Uzhavar Sandhai ),Potato,(Red Nanital),Local,4200,4800,4800.0,5/11/2025
Uttar Pradesh,amethi,Sultanpur,Potato,Desi,FAQ,1145,1170,1155.0,5/11/2025
Tamilnadu,salem,Ammapet(Uzhavar Sandhai ),Potato,(Red Nanital),Local,3600,4000,4000.0,5/11/2025
West Bengal,hooghly,Kalipur,Onion,Nasik,FAQ,1400,1500,1400.0,5/11/2025
Haryana,kaithal,Siwan,Potato,Other,FAQ,750,800,800.0,5/11/2025
Madhya Pradesh,shajapur,Agar,Onion,Medium,FAQ,710,710,710.0,5/11/2025
Uttar Pradesh,etah,Etah,Potato,Desi,FAQ,900,1200,1070.0,5/11/2025
Madhya Pradesh,shajapur,Kalapipal(F&V),Onion,Onion,FAQ,325,1380,695.0,5/11/2025
Tamilnadu,villupuram,Tindivanam,Onion,Bellary,Local,2500,3000,3000.0,5/11/2025
Madhya Pradesh,sagar,Sagar(F&V),Potato,Other,FAQ,800,1000,900.0,5/11/2025
Kerala,kannur,Thalasserry,Potato,Other,FAQ,2500,2700,2600.0,5/11/2025
Kerala,idukki,Thodupuzha,Onion,Small,FAQ,6000,6200,6200.0,5/11/2025
Tamilnadu,coimbatore,Pollachi(Uzhavar Sandhai ),Onion,Bellary,Local,2000,2400,2400.0,5/11/2025
Rajasthan,hanumangarh,Rawatsar,Potato,(Red Nanital),FAQ,800,800,800.0,5/11/2025
Uttar Pradesh,firozabad,Firozabad,Onion,Red,FAQ,1065,1255,1160.0,5/11/2025
West Bengal,north 24 parganas,Habra,Potato,Other,FAQ,1560,1600,1600.0,5/11/2025
Tamilnadu,theni,Devaram(Uzhavar Sandhai ),Potato,(Red Nanital),Local,3300,3300,3300.0,5/11/2025
West Bengal,birbhum,Birbhum,Rice,Common,FAQ,3450,3550,3500.0,5/11/2025
Tamilnadu,coimbatore,Vadavalli(Uzhavar Sandhai ),Onion,Bellary,Local,1800,2100,2100.0,5/11/2025
West Bengal,jalpaiguri,Belacoba,Onion,Other,FAQ,1600,1800,1700.0,5/11/2025
Tamilnadu,virudhunagar,Kariyapatti(Uzhavar Sandhai ),Onion,Bellary,Local,2500,3000,3000.0,5/11/2025
Punjab,sangrur,Sunam,Onion,Onion,FAQ,800,1400,1200.0,5/11/2025
Uttar Pradesh,agra,Achnera,Potato,Desi,FAQ,1020,1240,1140.0,5/11/2025
Uttar Pradesh,auraiya,Auraiya,Onion,Red,FAQ,1160,1320,1260.0,5/11/2025
Maharashtra,nagpur,Ramtek,Potato,Local,Local,1800,2000,1900.0,5/11/2025
Himachal Pradesh,hamirpur,Muskara,Onion,Red,FAQ,1140,1340,1240.0,5/11/2025
Tamilnadu,madurai,Usilampatty,Onion,Bellary,Local,2400,2800,2800.0,5/11/2025
Rajasthan,hanumangarh,Sangriya,Onion,Onion,FAQ,700,1500,1100.0,5/11/2025
Uttar Pradesh,etah,Awagarh,Onion,Red,Non-FAQ,1200,1400,1250.0,5/11/2025
Uttar Pradesh,saharanpur,Saharanpur,Onion,Red,FAQ,1100,1400,1250.0,5/11/2025
Tamilnadu,perambalur,Perambalur(Uzhavar Sandhai ),Potato,(Red Nanital),Local,3400,3400,3400.0,5/11/2025
Tamilnadu,nagapattinam,Mayiladuthurai(Uzhavar Sandhai ),Potato,(Red Nanital),Local,4000,4000,4000.0,5/11/2025
Uttar Pradesh,muzaffarnagar,Muzzafarnagar,Onion,Red,FAQ,1150,1400,1250.0,5/11/2025
Uttar Pradesh,etah,Etah,Rice,III,FAQ,3000,3500,3300.0,5/11/2025
Uttar Pradesh,sambhal,Chandausi,Potato,Potato,FAQ,1050,1150,1120.0,5/11/2025
Tamilnadu,virudhunagar,Sathur(Uzhavar Sandhai ),Potato,(Red Nanital),Local,2800,3500,3500.0,5/11/2025
Gujarat,kheda,Kapadvanj,Potato,Other,FAQ,1000,1450,1225.0,5/11/2025
Punjab,patiala,Rajpura,Onion,Local,Non-FAQ,900,1300,1100.0,5/11/2025
Uttar Pradesh,agra,Agra,Onion,Red,FAQ,1050,1350,1180.0,5/11/2025
Punjab,sangrur,Dhuri,Potato,Potato,FAQ,700,900,800.0,5/11/2025
Madhya Pradesh,sagar,Sagar(F&V),Onion,Other,FAQ,800,1200,1000.0,5/11/2025
Kerala,alappuzha,Aroor,Onion,Small,FAQ,4800,5000,4900.0,5/11/2025
Tamilnadu,thirunelveli,Palayamkottai(Uzhavar Sandhai ),Potato,(Red Nanital),Local,2800,3000,3000.0,5/11/2025
West Bengal,murshidabad,Jangipur,Potato,Jyoti,FAQ,1220,1275,1250.0,5/11/2025
Kerala,kottayam,Kanjirappally,Onion,Big,FAQ,2000,2500,2200.0,5/11/2025
Haryana,jind,Narwana,Onion,Other,FAQ,1000,1000,1000.0,5/11/2025
Haryana,kaithal,Dhand,Onion,Other,FAQ,1100,1300,1240.0,5/11/2025
Tamilnadu,coimbatore,Sundarapuram(Uzhavar Sandhai ),Onion,Bellary,Local,2000,2200,2200.0,5/11/2025
West Bengal,nadia,Karimpur,Rice,Other,FAQ,4300,4500,4400.0,5/12/2025
Uttar Pradesh,amethi,Sultanpur,Onion,Red,FAQ,1245,1285,1270.0,5/12/2025
Assam,lakhimpur,Lakhimpur,Potato,Local,FAQ,1200,1310,1260.0,5/12/2025
Uttar Pradesh,bulandshahar,Anoop Shahar,Potato,F.A.Q.,FAQ,800,1200,1000.0,5/12/2025
Punjab,nawanshahr,Nawan Shahar(Subzi Mandi),Potato,Other,FAQ,500,600,550.0,5/12/2025
Haryana,panchkula,Raipur Rai,Potato,Other,FAQ,800,1000,800.0,5/12/2025
Uttar Pradesh,baghpat,Baraut,Potato,Desi,FAQ,950,1230,1080.0,5/12/2025
Uttar Pradesh,firozabad,Firozabad,Onion,Red,FAQ,1060,1280,1175.0,5/12/2025
Uttar Pradesh,saharanpur,Gangoh,Onion,Red,FAQ,1200,1300,1250.0,5/12/2025
Uttar Pradesh,saharanpur,Saharanpur,Onion,Red,FAQ,1100,1400,1260.0,5/12/2025
Kerala,malappuram,Parappanangadi,Onion,Small,FAQ,5000,5100,5100.0,5/12/2025
Punjab,sangrur,Bhawanigarh,Potato,Other,FAQ,800,1000,900.0,5/12/2025
Manipur,bishnupur,Bishenpur,Potato,Other,FAQ,1500,2000,1750.0,5/12/2025
Tamilnadu,dindigul,Dindigul(Uzhavar Sandhai ),Onion,Bellary,Local,2500,3000,3000.0,5/12/2025
Madhya Pradesh,bhopal,Bhopal(F&V),Potato,Other,FAQ,500,1200,700.0,5/12/2025
Maharashtra,mumbai,Vashi New Mumbai,Onion,Other,Local,700,1400,1050.0,5/12/2025
Rajasthan,hanumangarh,Sangriya,Onion,Onion,FAQ,500,1200,900.0,5/12/2025
Tamilnadu,erode,Gobichettipalayam(Uzhavar Sandhai ),Potato,(Red Nanital),Local,3400,3800,3800.0,5/12/2025
Orissa,dhenkanal,Kamakhyanagar,Onion,Onion,Non-FAQ,2400,3000,2500.0,5/12/2025
Haryana,panipat,Panipat,Onion,Other,FAQ,600,1200,900.0,5/12/2025
Tamilnadu,virudhunagar,Aruppukottai(Uzhavar Sandhai ),Potato,(Red Nanital),Local,3400,4000,4000.0,5/12/2025
Karnataka,chikmagalur,Chikkamagalore,Potato,Other,FAQ,1907,2107,2007.0,5/12/2025
Haryana,kaithal,Pundri,Onion,Other,FAQ,1500,1600,1550.0,5/12/2025
Tamilnadu,virudhunagar,Sivakasi(Uzhavar Sandhai ),Onion,Bellary,Local,2400,2500,2500.0,5/12/2025
Uttar Pradesh,fatehpur,Khaga,Rice,III,FAQ,3060,3200,3135.0,5/12/2025
Maharashtra,sangli,"Sangli(Phale, Bhajipura Market)",Onion,Local,Local,500,1400,950.0,5/12/2025
Andhra Pradesh,hyderabad,Mahboob Manison,Onion,1st Sort,Non-FAQ,400,1200,1000.0,5/12/2025
Uttar Pradesh,firozabad,Firozabad,Potato,Potato,FAQ,985,1400,1165.0,5/12/2025
Uttar Pradesh,firozabad,Tundla,Onion,Red,FAQ,1160,1200,1185.0,5/12/2025
Kerala,kottayam,Kottayam,Rice,Other,FAQ,4600,5200,4900.0,5/12/2025
Tamilnadu,theni,Kambam(Uzhavar Sandhai ),Onion,Bellary,Local,2300,2400,2400.0,5/12/2025
Karnataka,mysore,Piriya Pattana,Rice,Broken Rice,FAQ,2400,2400,2400.0,5/12/2025
Maharashtra,ahmednagar,Shrirampur,Onion,Other,Local,500,1305,950.0,5/12/2025
Himachal Pradesh,hamirpur,Hamirpur,Onion,Other,FAQ,1800,2000,1900.0,5/12/2025
Haryana,sonipat,Ganaur,Onion,Onion,FAQ,1800,2000,1800.0,5/12/2025
West Bengal,paschim bardhaman,Asansol,Potato,Jyoti,FAQ,1380,1460,1400.0,5/12/2025
Madhya Pradesh,shajapur,Shajapur,Onion,Medium,FAQ,130,130,130.0,5/12/2025
Tamilnadu,vellore,Thirupathur,Onion,Bellary,Local,2500,2500,2500.0,5/12/2025
Orissa,bargarh,Bargarh,Potato,Other,FAQ,2100,2300,2200.0,5/12/2025
Tamilnadu,the nilgiris,Coonoor(Uzhavar Sandhai ),Potato,(Red Nanital),Local,4000,5000,5000.0,5/12/2025
Maharashtra,sholapur,Akluj,Potato,Local,Local,1800,2100,1900.0,5/12/2025
Kerala,kannur,Thalasserry,Onion,1st Sort,FAQ,1900,2100,2000.0,5/12/2025
West Bengal,hooghly,Kalipur,Rice,Fine,FAQ,4750,4850,4800.0,5/12/2025
Uttar Pradesh,fatehpur,Bindki,Potato,Potato,FAQ,1140,1210,1170.0,5/12/2025
Kerala,kannur,Taliparamba,Potato,Potato,FAQ,3100,3300,3200.0,5/12/2025
Tamilnadu,salem,Thathakapatti(Uzhavar Sandhai ),Potato,(Red Nanital),Local,3800,5500,5500.0,5/12/2025
Uttar Pradesh,mathura,Kosikalan,Potato,Desi,FAQ,1100,1170,1135.0,5/12/2025
Tamilnadu,dindigul,Dindigul(Uzhavar Sandhai ),Potato,(Red Nanital),Local,3600,4000,4000.0,5/12/2025
Uttar Pradesh,barabanki,Safdarganj,Onion,Red,Non-FAQ,1100,1180,1150.0,5/12/2025
Meghalaya,east khasi hills,Shillong,Potato,Local,FAQ,2000,2400,2200.0,5/12/2025
Haryana,yamuna nagar,Yamuna Nagar,Potato,Other,FAQ,300,1000,700.0,5/12/2025
Haryana,kaithal,Pundri,Potato,Other,FAQ,800,900,850.0,5/12/2025
Haryana,karnal,Gharaunda,Onion,Other,FAQ,1200,1500,1500.0,5/12/2025
Gujarat,kheda,Nadiyad(Chaklasi),Potato,Potato,Non-FAQ,900,1000,950.0,5/12/2025
Punjab,jalandhar,Phillaur(Apra Mandi),Onion,Other,FAQ,1300,1300,1300.0,5/12/2025
Tamilnadu,salem,Hasthampatti(Uzhavar Sandhai ),Onion,Bellary,Local,2500,3000,3000.0,5/12/2025
Delhi,delhi,Azadpur,Potato,Potato,FAQ,300,1400,830.0,5/12/2025
Tamilnadu,krishnagiri,Denkanikottai(Uzhavar Sandhai ),Onion,Bellary,Local,2000,2500,2500.0,5/12/2025
Tamilnadu,karur,Velayuthampalayam(Uzhavar Sandhai ),Onion,Bellary,Local,2200,2600,2600.0,5/12/2025
Gujarat,bharuch,Bharuch,Potato,Other,Non-FAQ,1200,2000,1500.0,5/12/2025
Gujarat,kheda,Kapadvanj,Potato,Other,FAQ,1000,1450,1225.0,5/12/2025
Maharashtra,nashik,Nasik,Potato,Other,Local,1300,1900,1650.0,5/12/2025
West Bengal,howrah,Ramkrishanpur(Howrah),Rice,Other,FAQ,3700,3900,3800.0,5/12/2025
Tamilnadu,salem,Athur(Uzhavar Sandhai ),Potato,(Red Nanital),Local,3500,3800,3800.0,5/12/2025
Orissa,khurda,Balugaon,Potato,Other,Non-FAQ,1500,1600,1500.0,5/12/2025
Tamilnadu,virudhunagar,Srivilliputhur(Uzhavar Sandhai ),Potato,(Red Nanital),Local,3000,3500,3500.0,5/12/2025
Tamilnadu,dharmapuri,Dharmapuri(Uzhavar Sandhai ),Potato,(Red Nanital),Local,3200,3400,3400.0,5/12/2025
Uttrakhand,champawat,Tanakpur,Rice,Other,FAQ,2900,2930,2920.0,5/12/2025
Uttar Pradesh,auraiya,Dibiapur,Potato,Desi,Non-FAQ,800,1000,900.0,5/12/2025
Uttar Pradesh,muzaffarnagar,Khatauli,Onion,Red,FAQ,800,1000,900.0,5/12/2025
Haryana,yamuna nagar,Radaur,Potato,Other,FAQ,800,1000,900.0,5/12/2025
Tamilnadu,thanjavur,Thanjavur(Uzhavar Sandhai ),Potato,(Red Nanital),Local,3400,3400,3400.0,5/12/2025
Uttar Pradesh,ghaziabad,Hapur,Potato,Desi,FAQ,1100,1200,1140.0,5/12/2025
Uttar Pradesh,ghaziabad,Hapur,Rice,III,FAQ,3200,3300,3240.0,5/12/2025
Gujarat,porbandar,Porbandar,Onion,Other,FAQ,1000,1500,1250.0,5/12/2025
Punjab,moga,Nihal Singh Wala,Onion,Other,FAQ,1300,1600,1500.0,5/12/2025
Haryana,kurukshetra,Thanesar,Potato,Potato,Non-FAQ,1000,1500,1200.0,5/12/2025
Haryana,kaithal,Dhand,Potato,Other,FAQ,900,1000,980.0,5/12/2025
